filename,split
board_20260225_220736_268077.png,train
board_20260225_220830_563858.png,train
board_20260225_220928_580562.png,train
board_20260225_221547_414412.png,test
board_20260225_221648_814164.png,train
board_20260225_221807_137303.png,train
board_20260225_222027_411963.png,train
board_20260225_222321_653530.png,test
board_20260225_222418_197258.png,train
board_20260225_222518_326688.png,train
board_20260225_222638_059609.png,train
board_20260225_222734_705194.png,train
board_20260225_222821_416952.png,train
board_20260225_223051_185127.png,train
board_20260225_223145_881339.png,train
board_20260225_223255_265154.png,train
board_20260225_223450_052819.png,train
board_20260225_223611_105100.png,train
board_20260225_223931_630268.png,train
board_20260225_224022_820353.png,train
board_20260225_224242_545980.png,train
board_20260225_224448_437214.png,train
board_20260225_224521_351432.png,train
board_20260225_224634_518407.png,train
board_20260225_224802_150986.png,train
board_20260225_225413_044123.png,train
board_20260225_225719_489767.png,train
board_20260225_230035_698176.png,train
board_20260225_230123_415627.png,train
board_20260225_230319_962595.png,train
board_20260225_230356_568872.png,val
board_20260225_230416_769697.png,train
board_20260225_230456_969339.png,train
board_20260225_230606_047175.png,train
board_20260225_230922_175182.png,train
board_20260225_231551_081929.png,train
board_20260225_231607_471596.png,train
board_20260225_231621_868171.png,train
board_20260225_233115_437797.png,train
board_20260225_233539_349892.png,val
board_20260225_233616_677174.png,train
board_20260225_233630_526747.png,train
board_20260225_233707_327257.png,val
board_20260225_234611_790130.png,train
board_20260225_234821_733637.png,train
board_20260225_234841_859226.png,train
board_20260225_235150_767958.png,train
board_20260225_235304_010323.png,val
board_20260225_235332_872144.png,train
board_20260225_235400_696286.png,train
board_20260225_235447_497205.png,train
board_20260225_235529_035316.png,train
board_20260225_235644_857020.png,train
board_20260225_235745_241498.png,train
board_20260225_235832_470426.png,train
board_20260225_235902_595675.png,train
board_20260225_235936_330292.png,train
board_20260226_000014_731746.png,train
board_20260226_000034_046431.png,train
board_20260226_000046_337935.png,test
board_20260226_000103_366749.png,train
board_20260226_000132_875847.png,train
board_20260226_000306_176866.png,train
board_20260226_000341_309113.png,train
board_20260226_000516_685439.png,train
board_20260226_000648_217807.png,train
board_20260226_000648_253840.png,train
board_20260226_000711_162750.png,train
board_20260226_000711_194781.png,train
board_20260226_000721_636180.png,train
board_20260226_001008_653222.png,test
board_20260226_001029_320001.png,train
board_20260226_001112_730685.png,val
board_20260226_001112_763732.png,train
board_20260226_001150_862242.png,train
board_20260226_001150_898564.png,train
board_20260226_001208_641973.png,train
board_20260226_001342_476844.png,train
board_20260226_001342_512875.png,train
board_20260226_001402_918685.png,train
board_20260226_001457_084930.png,train
board_20260226_002006_986685.png,val
board_20260226_002027_871541.png,test
board_20260226_002027_906237.png,train
board_20260226_003238_523654.png,train
board_20260226_003238_547011.png,train
board_20260226_003238_579137.png,train
board_20260226_003351_412608.png,train
board_20260226_003351_475064.png,train
board_20260226_003524_841234.png,train
board_20260226_003524_874491.png,train
board_20260226_004644_367083.png,train
board_20260226_004644_401092.png,train
board_20260226_005241_108684.png,train
board_20260226_005241_141702.png,train
board_20260226_005241_168729.png,val
board_20260226_005241_196713.png,train
board_20260226_005241_225791.png,train
board_20260226_005241_254728.png,train
board_20260226_005942_193001.png,train
board_20260226_005942_225657.png,train
board_20260226_005942_256664.png,train
board_20260226_005942_284670.png,train
board_20260226_005942_313676.png,train
board_20260226_005942_341683.png,train
board_20260226_011740_524973.png,train
board_20260226_011908_080824.png,train
board_20260226_012405_318706.png,train
board_20260226_012453_345179.png,train
board_20260226_012555_249193.png,test
board_20260226_012629_314539.png,train
board_20260226_012702_371897.png,train
board_20260226_012739_504447.png,train
board_20260226_012801_681355.png,train
board_20260226_012824_393598.png,val
board_20260226_012912_720265.png,train
board_20260226_012952_672138.png,val
board_20260226_013013_060750.png,train
board_20260226_013036_203687.png,train
board_20260226_013101_576304.png,train
board_20260226_013131_542970.png,train
board_20260226_013150_955570.png,test
board_20260226_013213_125677.png,test
board_20260226_013244_482964.png,train
board_20260226_013318_653565.png,train
board_20260226_013339_795132.png,train
board_20260226_013403_416235.png,train
board_20260226_013422_135974.png,train
board_20260226_013446_126960.png,train
board_20260226_013506_321917.png,train
board_20260226_013527_762996.png,train
board_20260226_013618_773780.png,val
board_20260226_013658_710202.png,train
board_20260226_013723_180837.png,train
board_20260226_013740_540133.png,test
board_20260226_013805_718158.png,train
board_20260226_013825_708994.png,test
board_20260226_013846_992869.png,test
board_20260226_013910_442662.png,train
board_20260226_013937_777947.png,train
board_20260226_014326_152096.png,train
board_20260226_014420_589626.png,train
board_20260226_014442_641088.png,test
board_20260226_014505_443466.png,train
board_20260226_014527_336304.png,train
board_20260226_014551_545370.png,train
board_20260226_014618_391488.png,train
board_20260226_014638_984971.png,train
board_20260226_014711_499916.png,train
board_20260226_014736_482835.png,val
board_20260226_014755_992713.png,train
board_20260226_014816_358343.png,val
board_20260226_014834_988123.png,test
board_20260226_014957_853527.png,test
board_20260226_015046_150518.png,train
board_20260226_015610_484338.png,train
board_20260226_015809_894312.png,train
board_20260226_015847_424304.png,val
board_20260226_020809_316415.png,train
board_20260226_020903_258636.png,train
board_20260226_020917_468222.png,train
board_20260226_021106_180701.png,train
board_20260226_021119_916113.png,val
board_20260226_021152_898625.png,train
board_20260226_021227_061034.png,test
board_20260226_021604_232285.png,train
board_20260226_021622_992089.png,train
board_20260226_021635_696290.png,train
board_20260226_021650_356355.png,val
board_20260226_021700_822106.png,train
board_20260226_021712_685030.png,train
board_20260226_021723_541263.png,train
board_20260226_021738_382620.png,val
board_20260226_021749_959351.png,train
board_20260226_021805_778003.png,train
board_20260226_021822_957192.png,train
board_20260226_021836_565005.png,train
board_20260226_021848_097747.png,train
board_20260226_021856_962062.png,train
board_20260226_021907_042734.png,train
board_20260226_022048_666660.png,val
board_20260226_022205_441702.png,train
board_20260226_022241_468281.png,train
board_20260226_022323_321660.png,train
board_20260226_022350_200072.png,train
board_20260226_022522_093699.png,val
board_20260226_022538_438504.png,train
board_20260226_022629_351400.png,val
board_20260226_022654_107694.png,train
board_20260226_022709_835888.png,train
board_20260226_022730_029064.png,val
board_20260226_022745_592505.png,train
board_20260226_022800_433102.png,train
board_20260226_022919_795569.png,train
board_20260226_022936_665895.png,train
board_20260226_022956_259067.png,train
board_20260226_181309_314729.png,train
board_20260226_181331_098323.png,train
board_20260226_181417_842037.png,train
board_20260226_182450_474117.png,train
board_20260226_182518_009086.png,train
board_20260226_182539_017792.png,train
board_20260226_182644_689076.png,train
board_20260226_182722_698057.png,train
board_20260226_182736_298075.png,test
board_20260226_182751_393060.png,train
board_20260226_182819_273053.png,train
board_20260226_182833_618060.png,train
board_20260226_183049_081861.png,train
board_20260226_183114_617487.png,val
board_20260226_183239_112987.png,train
board_20260226_183239_144041.png,train
board_20260226_183239_172038.png,train
board_20260226_183239_201045.png,train
board_20260226_183239_230052.png,train
board_20260226_183239_258058.png,train
board_20260226_183337_241735.png,train
board_20260226_183337_273742.png,train
board_20260226_183337_304750.png,val
board_20260226_183337_335758.png,train
board_20260226_183337_365764.png,val
board_20260226_183337_396771.png,val
board_20260226_183444_393947.png,train
board_20260226_183636_089186.png,val
board_20260226_183656_385406.png,train
board_20260226_183744_937378.png,train
board_20260226_183744_969384.png,test
board_20260226_183744_999391.png,train
board_20260226_183818_881560.png,val
board_20260226_183818_914591.png,train
board_20260226_184022_904871.png,test
board_20260226_184022_935903.png,train
board_20260226_184022_964909.png,train
board_20260226_184022_994915.png,train
board_20260226_184023_024922.png,train
board_20260226_184023_052929.png,train
board_20260226_184145_841863.png,train
board_20260226_184145_872870.png,train
board_20260226_184145_903868.png,test
board_20260226_184145_932874.png,test
board_20260226_184145_961881.png,train
board_20260226_184145_992888.png,val
board_20260226_184310_217591.png,train
board_20260226_184325_041660.png,val
board_20260226_184345_281369.png,train
board_20260226_184345_312376.png,train
board_20260226_185155_265240.png,test
board_20260226_185216_841016.png,train
board_20260226_185255_041770.png,train
board_20260226_185255_071776.png,train
board_20260226_185406_712655.png,train
board_20260226_185406_743664.png,train
board_20260226_185406_772670.png,train
board_20260226_185406_801677.png,train
board_20260226_185406_831581.png,train
board_20260226_185406_860588.png,val
board_20260226_185550_968641.png,train
board_20260226_185550_999658.png,test
board_20260226_185551_028656.png,train
board_20260226_185551_058891.png,test
board_20260226_185551_087898.png,train
board_20260226_185551_116904.png,train
board_20260226_192911_248130.png,train
board_20260226_192942_952134.png,train
board_20260226_192942_983165.png,train
board_20260226_192943_012171.png,test
board_20260226_193008_649089.png,train
board_20260226_193008_680086.png,train
board_20260226_193008_711094.png,train
board_20260226_193024_736326.png,train
board_20260226_193220_928582.png,train
board_20260226_193220_961590.png,train
board_20260226_193220_991597.png,train
board_20260226_193221_021604.png,train
board_20260226_193221_050610.png,val
board_20260226_193221_079617.png,train
board_20260226_193317_864846.png,test
board_20260226_193317_894852.png,train
board_20260226_193317_925859.png,train
board_20260226_193317_954865.png,train
board_20260226_193317_984242.png,train
board_20260226_193318_013248.png,train
board_20260226_193356_072071.png,train
board_20260226_193356_116115.png,train
board_20260226_193435_456061.png,train
board_20260226_193435_487102.png,train
board_20260226_193454_800056.png,train
board_20260226_193454_831136.png,train
board_20260226_193538_944527.png,train
board_20260226_193614_328691.png,train
board_20260226_193614_358698.png,train
board_20260226_193614_387704.png,train
board_20260226_193614_417710.png,train
board_20260226_193614_447718.png,test
board_20260226_193614_477724.png,test
board_20260226_193702_112013.png,train
board_20260226_193702_143021.png,val
board_20260226_193702_171028.png,train
board_20260226_193702_201035.png,val
board_20260226_193702_232041.png,test
board_20260226_193702_262049.png,train
board_20260226_193828_920530.png,test
board_20260226_193828_965553.png,train
board_20260226_194117_071962.png,val
board_20260226_194117_103135.png,train
board_20260226_194157_920522.png,train
board_20260226_194157_951520.png,val
board_20260226_194157_982527.png,train
board_20260226_194332_215915.png,train
board_20260226_194332_239922.png,train
